,Bloomberg US Agg Sovereign Avg OAS,Bloomberg US Corporate High Yield Average OAS
,LUAS Index,LF98OAS Index
11/8/2011,2.24,6.83
11/9/2011,2.37,7.06
11/10/2011,2.3,7.04
11/14/2011,2.31,7.02
11/15/2011,2.35,7.08
11/16/2011,2.4,7.1
11/17/2011,2.5,7.17
11/18/2011,2.47,7.18
11/21/2011,2.55,7.35
11/22/2011,2.61,7.46
11/23/2011,2.71,7.59
11/25/2011,2.69,7.56
11/28/2011,2.65,7.51
11/29/2011,2.65,7.49
11/30/2011,2.59,7.34
12/1/2011,2.47,7.25
12/2/2011,2.48,7.2
12/5/2011,2.36,7.11
12/6/2011,2.34,7.08
12/7/2011,2.4,7.1
12/8/2011,2.46,7.13
12/9/2011,2.37,7.11
12/12/2011,2.4,7.18
12/13/2011,2.4,7.17
12/14/2011,2.47,7.22
12/15/2011,2.44,7.23
12/16/2011,2.49,7.24
12/19/2011,2.5,7.23
12/20/2011,2.4,7.12
12/21/2011,2.37,7.08
12/22/2011,2.24,7.04
12/23/2011,2.17,6.96
12/27/2011,2.18,6.96
12/28/2011,2.25,7
12/29/2011,2.25,6.97
12/30/2011,2.27,6.99
1/3/2012,2.21,6.82
1/4/2012,2.19,6.74
1/5/2012,2.2,6.78
1/6/2012,2.23,6.75
1/9/2012,2.22,6.75
1/10/2012,2.25,6.69
1/11/2012,2.31,6.74
1/12/2012,2.26,6.7
1/13/2012,2.31,6.77
1/17/2012,2.3,6.71
1/18/2012,2.26,6.71
1/19/2012,2.19,6.56
1/20/2012,2.13,6.47
1/23/2012,2.08,6.41
1/24/2012,2.07,6.4
1/25/2012,2.09,6.43
1/26/2012,2.13,6.36
1/27/2012,2.11,6.32
1/30/2012,2.15,6.42
1/31/2012,2.14,6.43
2/1/2012,2.08,6.36
2/2/2012,2.07,6.36
2/3/2012,1.98,6.23
2/6/2012,2,6.25
2/7/2012,1.95,6.17
2/8/2012,1.91,6.09
2/9/2012,1.87,6.05
2/10/2012,1.91,6.16
2/13/2012,1.86,6.11
2/14/2012,1.9,6.12
2/15/2012,1.89,6.14
2/16/2012,1.84,6.14
2/17/2012,1.83,6.07
2/21/2012,1.79,5.97
2/22/2012,1.82,5.99
2/23/2012,1.83,5.95
2/24/2012,1.83,5.85
2/27/2012,1.86,5.9
2/28/2012,1.84,5.86
2/29/2012,1.79,5.77
3/1/2012,1.73,5.73
3/2/2012,1.72,5.79
3/5/2012,1.7,5.84
3/6/2012,1.75,6.05
3/7/2012,1.72,5.99
3/8/2012,1.68,5.91
3/9/2012,1.63,5.86
3/12/2012,1.61,5.84
3/13/2012,1.55,5.74
3/14/2012,1.47,5.61
3/15/2012,1.5,5.67
3/16/2012,1.51,5.65
3/19/2012,1.47,5.59
3/20/2012,1.47,5.61
3/21/2012,1.5,5.66
3/22/2012,1.52,5.72
3/23/2012,1.55,5.73
3/26/2012,1.54,5.72
3/27/2012,1.58,5.73
3/28/2012,1.57,5.74
3/29/2012,1.61,5.84
3/30/2012,1.57,5.76
4/2/2012,1.58,5.79
4/3/2012,1.51,5.71
4/4/2012,1.56,5.79
4/5/2012,1.62,5.85
4/6/2012,1.7,5.93
4/9/2012,1.7,6.03
4/10/2012,1.75,6.12
4/11/2012,1.72,6.09
4/12/2012,1.67,6.03
4/13/2012,1.7,6.05
4/16/2012,1.71,6.06
4/17/2012,1.64,5.98
4/18/2012,1.65,5.99
4/19/2012,1.65,6
4/20/2012,1.63,5.98
4/23/2012,1.69,6.03
4/24/2012,1.67,5.98
4/25/2012,1.65,5.89
4/26/2012,1.67,5.89
4/27/2012,1.68,5.86
4/30/2012,1.68,5.82
5/1/2012,1.65,5.74
5/2/2012,1.65,5.74
5/3/2012,1.63,5.72
5/4/2012,1.65,5.72
5/7/2012,1.64,5.76
5/8/2012,1.67,5.8
5/9/2012,1.68,5.84
5/10/2012,1.69,5.8
5/11/2012,1.73,5.81
5/14/2012,1.8,5.93
5/15/2012,1.84,5.96
5/16/2012,1.87,6.04
5/17/2012,1.95,6.26
5/18/2012,1.98,6.34
5/21/2012,1.96,6.44
5/22/2012,1.93,6.35
5/23/2012,2.01,6.58
5/24/2012,1.95,6.56
5/25/2012,1.96,6.56
5/29/2012,1.98,6.53
5/30/2012,2.07,6.65
5/31/2012,2.14,6.71
6/1/2012,2.21,6.88
6/4/2012,2.16,6.89
6/5/2012,2.1,6.95
6/6/2012,2.01,6.79
6/7/2012,1.97,6.68
6/8/2012,1.97,6.67
6/11/2012,2,6.64
6/12/2012,1.94,6.65
6/13/2012,1.95,6.65
6/14/2012,1.94,6.62
6/15/2012,1.91,6.62
6/18/2012,1.91,6.59
6/19/2012,1.87,6.44
6/20/2012,1.84,6.33
6/21/2012,1.87,6.32
6/22/2012,1.82,6.3
6/25/2012,1.89,6.38
6/26/2012,1.88,6.35
6/27/2012,1.89,6.31
6/28/2012,1.92,6.31
6/29/2012,1.83,6.15
7/2/2012,1.86,6.17
7/3/2012,1.8,6.11
7/5/2012,1.82,6.12
7/6/2012,1.83,6.14
7/9/2012,1.84,6.13
7/10/2012,1.83,6.09
7/11/2012,1.79,6.06
7/12/2012,1.77,6.11
7/13/2012,1.75,6.09
7/16/2012,1.74,6.12
7/17/2012,1.68,6.09
7/18/2012,1.7,6.07
7/19/2012,1.66,5.98
7/20/2012,1.71,5.99
7/23/2012,1.75,6.13
7/24/2012,1.8,6.15
7/25/2012,1.81,6.15
7/26/2012,1.78,6.1
7/27/2012,1.67,5.92
7/30/2012,1.66,5.91
7/31/2012,1.63,5.95
8/1/2012,1.58,5.79
8/2/2012,1.62,5.83
8/3/2012,1.53,5.72
8/6/2012,1.53,5.7
8/7/2012,1.49,5.65
8/8/2012,1.46,5.65
8/9/2012,1.47,5.68
8/10/2012,1.51,5.77
8/13/2012,1.5,5.76
8/14/2012,1.48,5.7
8/15/2012,1.44,5.69
8/16/2012,1.45,5.69
8/17/2012,1.47,5.69
8/20/2012,1.47,5.68
8/21/2012,1.47,5.65
8/22/2012,1.51,5.69
8/23/2012,1.53,5.72
8/24/2012,1.52,5.69
8/27/2012,1.53,5.68
8/28/2012,1.52,5.71
8/29/2012,1.52,5.69
8/30/2012,1.53,5.71
8/31/2012,1.57,5.75
9/4/2012,1.5,5.72
9/5/2012,1.47,5.69
9/6/2012,1.4,5.58
9/7/2012,1.39,5.51
9/10/2012,1.37,5.47
9/11/2012,1.37,5.42
9/12/2012,1.31,5.31
9/13/2012,1.32,5.29
9/14/2012,1.28,5.13
9/17/2012,1.29,5.14
9/18/2012,1.3,5.16
9/19/2012,1.31,5.16
9/20/2012,1.3,5.22
9/21/2012,1.3,5.25
9/24/2012,1.32,5.33
9/25/2012,1.34,5.39
9/26/2012,1.39,5.62
9/27/2012,1.37,5.56
9/28/2012,1.36,5.51
10/1/2012,1.38,5.52
10/2/2012,1.36,5.52
10/3/2012,1.32,5.51
10/4/2012,1.29,5.45
10/5/2012,1.23,5.36
10/9/2012,1.23,5.41
10/10/2012,1.25,5.45
10/11/2012,1.26,5.41
10/12/2012,1.25,5.41
10/15/2012,1.24,5.37
10/16/2012,1.18,5.29
10/17/2012,1.1,5.16
10/18/2012,1.08,5.13
10/19/2012,1.13,5.19
10/22/2012,1.11,5.17
10/23/2012,1.14,5.31
10/24/2012,1.14,5.28
10/25/2012,1.11,5.26
10/26/2012,1.18,5.33
10/29/2012,1.21,5.4
10/31/2012,1.23,5.43
11/1/2012,1.2,5.39
11/2/2012,1.19,5.37
11/5/2012,1.2,5.39
11/6/2012,1.14,5.32
11/7/2012,1.2,5.45
11/8/2012,1.23,5.48
11/9/2012,1.25,5.59
11/13/2012,1.27,5.64
11/14/2012,1.27,5.67
11/15/2012,1.29,5.79
11/16/2012,1.3,5.84
11/19/2012,1.28,5.73
11/20/2012,1.26,5.67
11/21/2012,1.24,5.62
11/23/2012,1.23,5.6
11/26/2012,1.24,5.58
11/27/2012,1.25,5.56
11/28/2012,1.25,5.56
11/29/2012,1.24,5.49
11/30/2012,1.25,5.46
12/3/2012,1.24,5.42
12/4/2012,1.25,5.39
12/5/2012,1.26,5.31
12/6/2012,1.27,5.29
12/7/2012,1.24,5.24
12/10/2012,1.27,5.23
12/11/2012,1.25,5.17
12/12/2012,1.23,5.12
12/13/2012,1.2,5.09
12/14/2012,1.22,5.12
12/17/2012,1.17,5.07
12/18/2012,1.12,5
12/19/2012,1.13,5.01
12/20/2012,1.14,5.01
12/21/2012,1.18,5.07
12/24/2012,1.16,5.07
12/26/2012,1.17,5.06
12/27/2012,1.2,5.09
12/28/2012,1.21,5.1
12/31/2012,1.18,5.11
1/2/2013,1.1,4.93
1/3/2013,1.08,4.84
1/4/2013,1.08,4.8
1/7/2013,1.1,4.79
1/8/2013,1.13,4.8
1/9/2013,1.15,4.77
1/10/2013,1.13,4.71
1/11/2013,1.14,4.69
1/14/2013,1.14,4.71
1/15/2013,1.15,4.75
1/16/2013,1.15,4.76
1/17/2013,1.11,4.69
1/18/2013,1.14,4.68
1/22/2013,1.15,4.68
1/23/2013,1.14,4.65
1/24/2013,1.13,4.62
1/25/2013,1.09,4.51
1/28/2013,1.09,4.54
1/29/2013,1.12,4.6
1/30/2013,1.16,4.66
1/31/2013,1.2,4.77
2/1/2013,1.2,4.76
2/4/2013,1.23,4.82
2/5/2013,1.2,4.84
2/6/2013,1.22,4.87
2/7/2013,1.22,4.9
2/8/2013,1.22,4.9
2/11/2013,1.21,4.88
2/12/2013,1.19,4.86
2/13/2013,1.18,4.79
2/14/2013,1.22,4.79
2/15/2013,1.22,4.76
2/19/2013,1.21,4.72
2/20/2013,1.24,4.72
2/21/2013,1.28,4.8
2/22/2013,1.29,4.81
2/25/2013,1.32,4.8
2/26/2013,1.37,4.84
2/27/2013,1.36,4.79
2/28/2013,1.36,4.73
3/1/2013,1.38,4.71
3/4/2013,1.35,4.69
3/5/2013,1.32,4.64
3/6/2013,1.28,4.59
3/7/2013,1.26,4.49
3/8/2013,1.24,4.42
3/11/2013,1.26,4.42
3/12/2013,1.27,4.42
3/13/2013,1.29,4.42
3/14/2013,1.29,4.41
3/15/2013,1.33,4.46
3/18/2013,1.36,4.54
3/19/2013,1.41,4.56
3/20/2013,1.4,4.55
3/21/2013,1.42,4.56
3/22/2013,1.43,4.55
3/25/2013,1.42,4.55
3/26/2013,1.43,4.58
3/27/2013,1.45,4.62
3/28/2013,1.43,4.57
3/29/2013,1.43,4.57
4/1/2013,1.45,4.63
4/2/2013,1.42,4.61
4/3/2013,1.42,4.64
4/4/2013,1.39,4.66
4/5/2013,1.38,4.73
4/8/2013,1.33,4.66
4/9/2013,1.3,4.63
4/10/2013,1.26,4.54
4/11/2013,1.26,4.5
4/12/2013,1.29,4.53
4/15/2013,1.29,4.59
4/16/2013,1.28,4.58
4/17/2013,1.29,4.62
4/18/2013,1.3,4.63
4/19/2013,1.29,4.61
4/22/2013,1.3,4.58
4/23/2013,1.29,4.55
4/24/2013,1.29,4.51
4/25/2013,1.29,4.46
4/26/2013,1.31,4.45
4/29/2013,1.3,4.38
4/30/2013,1.27,4.32
5/1/2013,1.27,4.3
5/2/2013,1.25,4.23
5/3/2013,1.17,4.1
5/6/2013,1.16,4.11
5/7/2013,1.16,4.06
5/8/2013,1.18,4.05
5/9/2013,1.16,4.04
5/10/2013,1.13,4.02
5/13/2013,1.16,4.15
5/14/2013,1.16,4.18
5/15/2013,1.2,4.19
5/16/2013,1.26,4.25
