,Bloomberg US Agg Sovereign Avg OAS,Bloomberg US Corporate High Yield Average OAS
,LUAS Index,LF98OAS Index
5/12/2009,2.51,11.32
5/13/2009,2.57,11.52
5/14/2009,2.59,11.64
5/15/2009,2.57,11.6
5/18/2009,2.5,11.64
5/19/2009,2.47,11.51
5/20/2009,2.5,11.29
5/21/2009,2.37,11.15
5/22/2009,2.34,10.99
5/26/2009,2.29,10.94
5/27/2009,2.17,10.75
5/28/2009,2.14,10.62
5/29/2009,2.24,10.67
6/1/2009,2.09,10.32
6/2/2009,2.1,9.98
6/3/2009,2.14,9.94
6/4/2009,2.05,9.81
6/5/2009,1.91,9.41
6/8/2009,1.93,9.32
6/9/2009,1.98,9.32
6/10/2009,1.94,9.18
6/11/2009,2,9.18
6/12/2009,2.05,9.17
6/15/2009,2.1,9.22
6/16/2009,2.11,9.28
6/17/2009,2.15,9.49
6/18/2009,2.04,9.48
6/19/2009,2.1,9.49
6/22/2009,2.19,9.44
6/23/2009,2.18,9.56
6/24/2009,2.13,9.51
6/25/2009,2.18,9.59
6/26/2009,2.14,9.62
6/29/2009,2.09,9.57
6/30/2009,2.06,9.45
7/1/2009,2.06,9.4
7/2/2009,2.1,9.44
7/6/2009,2.08,9.53
7/7/2009,2.09,9.53
7/8/2009,2.28,9.74
7/9/2009,2.12,9.64
7/10/2009,2.19,9.8
7/13/2009,2.24,9.8
7/14/2009,2.1,9.69
7/15/2009,1.98,9.48
7/16/2009,1.99,9.5
7/17/2009,1.93,9.36
7/20/2009,1.95,9.31
7/21/2009,2,9.26
7/22/2009,1.92,9.1
7/23/2009,1.82,8.84
7/24/2009,1.82,8.75
7/27/2009,1.75,8.6
7/28/2009,1.78,8.52
7/29/2009,1.72,8.39
7/30/2009,1.74,8.29
7/31/2009,1.82,8.3
8/3/2009,1.72,8.03
8/4/2009,1.66,7.93
8/5/2009,1.61,7.81
8/6/2009,1.6,7.78
8/7/2009,1.54,7.62
8/10/2009,1.59,7.64
8/11/2009,1.63,7.71
8/12/2009,1.63,7.85
8/13/2009,1.7,8
8/14/2009,1.73,8.07
8/17/2009,1.77,8.28
8/18/2009,1.76,8.29
8/19/2009,1.79,8.35
8/20/2009,1.79,8.37
8/21/2009,1.71,8.29
8/24/2009,1.74,8.54
8/25/2009,1.75,8.54
8/26/2009,1.76,8.53
8/27/2009,1.75,8.49
8/28/2009,1.77,8.49
8/31/2009,1.8,8.49
9/1/2009,1.83,8.54
9/2/2009,1.88,8.78
9/3/2009,1.86,8.76
9/4/2009,1.78,8.65
9/8/2009,1.69,8.57
9/9/2009,1.65,8.53
9/10/2009,1.72,8.51
9/11/2009,1.71,8.37
9/14/2009,1.67,8.19
9/15/2009,1.58,7.95
9/16/2009,1.51,7.71
9/17/2009,1.5,7.73
9/18/2009,1.45,7.64
9/21/2009,1.45,7.65
9/22/2009,1.46,7.59
9/23/2009,1.49,7.55
9/24/2009,1.5,7.54
9/25/2009,1.51,7.56
9/28/2009,1.55,7.61
9/29/2009,1.55,7.59
9/30/2009,1.53,7.64
10/1/2009,1.59,7.78
10/2/2009,1.58,7.87
10/5/2009,1.58,7.81
10/6/2009,1.52,7.75
10/7/2009,1.53,7.81
10/8/2009,1.49,7.71
10/9/2009,1.38,7.6
10/13/2009,1.42,7.65
10/14/2009,1.35,7.49
10/15/2009,1.32,7.42
10/16/2009,1.36,7.42
10/19/2009,1.39,7.4
10/20/2009,1.43,7.4
10/21/2009,1.38,7.3
10/22/2009,1.4,7.28
10/23/2009,1.38,7.18
10/26/2009,1.63,7.12
10/27/2009,1.49,7.2
10/28/2009,1.56,7.27
10/29/2009,1.54,7.24
10/30/2009,1.57,7.35
11/2/2009,1.53,7.33
11/3/2009,1.5,7.24
11/4/2009,1.47,7.18
11/5/2009,1.49,7.19
11/6/2009,1.51,7.23
11/9/2009,1.51,7.2
11/10/2009,1.45,7.16
11/12/2009,1.43,7.15
11/13/2009,1.43,7.13
11/16/2009,1.48,7.18
11/17/2009,1.47,7.19
11/18/2009,1.45,7.14
11/19/2009,1.46,7.2
11/20/2009,1.45,7.21
11/23/2009,1.44,7.18
11/24/2009,1.47,7.22
11/25/2009,1.44,7.24
11/27/2009,1.48,7.32
11/30/2009,1.5,7.42
12/1/2009,1.48,7.25
12/2/2009,1.42,7.17
12/3/2009,1.38,7.07
12/4/2009,1.33,6.92
12/7/2009,1.37,6.93
12/8/2009,1.4,6.98
12/9/2009,1.37,6.92
12/10/2009,1.34,6.85
12/11/2009,1.31,6.75
12/14/2009,1.31,6.68
12/15/2009,1.29,6.58
12/16/2009,1.29,6.56
12/17/2009,1.41,6.64
12/18/2009,1.37,6.58
12/21/2009,1.3,6.46
12/22/2009,1.29,6.38
12/23/2009,1.29,6.35
12/24/2009,1.25,6.29
12/28/2009,1.24,6.23
12/29/2009,1.26,6.22
12/30/2009,1.28,6.24
12/31/2009,1.24,6.17
1/4/2010,1.25,6.12
1/5/2010,1.27,6.09
1/6/2010,1.22,5.96
1/7/2010,1.22,5.82
1/8/2010,1.22,5.82
1/11/2010,1.21,5.81
1/12/2010,1.27,5.9
1/13/2010,1.22,5.84
1/14/2010,1.29,5.88
1/15/2010,1.34,5.95
1/19/2010,1.32,5.95
1/20/2010,1.35,6.01
1/21/2010,1.39,6.09
1/22/2010,1.41,6.21
1/25/2010,1.39,6.28
1/26/2010,1.4,6.35
1/27/2010,1.4,6.3
1/28/2010,1.42,6.31
1/29/2010,1.49,6.36
2/1/2010,1.48,6.38
2/2/2010,1.5,6.38
2/3/2010,1.46,6.3
2/4/2010,1.51,6.43
2/5/2010,1.61,6.66
2/8/2010,1.6,6.69
2/9/2010,1.57,6.72
2/10/2010,1.52,6.77
2/11/2010,1.47,6.82
2/12/2010,1.48,6.9
2/16/2010,1.47,6.91
2/17/2010,1.42,6.68
2/18/2010,1.38,6.55
2/19/2010,1.4,6.46
2/22/2010,1.38,6.4
2/23/2010,1.44,6.51
2/24/2010,1.43,6.5
2/25/2010,1.46,6.57
2/26/2010,1.47,6.57
3/1/2010,1.41,6.52
3/2/2010,1.38,6.43
3/3/2010,1.35,6.39
3/4/2010,1.35,6.35
3/5/2010,1.3,6.22
3/8/2010,1.26,6.12
3/9/2010,1.26,6.09
3/10/2010,1.21,6.01
3/11/2010,1.21,5.99
3/12/2010,1.2,5.96
3/15/2010,1.19,5.97
3/16/2010,1.21,6.02
3/17/2010,1.19,5.97
3/18/2010,1.17,5.87
3/19/2010,1.17,5.84
3/22/2010,1.19,5.89
3/23/2010,1.18,5.86
3/24/2010,1.07,5.72
3/25/2010,1.05,5.66
3/26/2010,1.08,5.67
3/29/2010,1.1,5.65
3/30/2010,1.1,5.64
3/31/2010,1.14,5.7
4/1/2010,1.13,5.65
4/2/2010,1.08,5.57
4/5/2010,1.07,5.48
4/6/2010,1.07,5.48
4/7/2010,1.13,5.54
4/8/2010,1.13,5.51
4/9/2010,1.14,5.49
4/12/2010,1.14,5.49
4/13/2010,1.14,5.48
4/14/2010,1.11,5.4
4/15/2010,1.12,5.34
4/16/2010,1.14,5.4
4/19/2010,1.11,5.45
4/20/2010,1.11,5.41
4/21/2010,1.14,5.41
4/22/2010,1.14,5.37
4/23/2010,1.13,5.31
4/26/2010,1.14,5.28
4/27/2010,1.19,5.39
4/28/2010,1.21,5.37
4/29/2010,1.25,5.4
4/30/2010,1.31,5.48
5/3/2010,1.29,5.43
5/4/2010,1.37,5.53
5/5/2010,1.44,5.74
5/6/2010,1.64,6.1
5/7/2010,1.65,6.34
5/10/2010,1.58,6.14
5/11/2010,1.57,6.22
5/12/2010,1.54,6.06
5/13/2010,1.46,6.02
5/14/2010,1.54,6.23
5/17/2010,1.52,6.26
5/18/2010,1.59,6.34
5/19/2010,1.66,6.49
5/20/2010,1.74,6.82
5/21/2010,1.77,6.92
5/24/2010,1.73,6.87
5/25/2010,1.8,7.13
5/26/2010,1.78,6.94
5/27/2010,1.72,6.79
5/28/2010,1.74,6.79
5/31/2010,1.74,6.79
6/1/2010,1.75,6.87
6/2/2010,1.72,6.86
6/3/2010,1.71,6.77
6/4/2010,1.85,6.97
6/7/2010,1.88,6.99
6/8/2010,1.96,7.09
6/9/2010,1.92,7.09
6/10/2010,1.84,7.02
6/11/2010,1.9,7.11
6/14/2010,1.83,7.03
6/15/2010,1.79,6.93
6/16/2010,1.79,6.85
6/17/2010,1.8,6.79
6/18/2010,1.75,6.7
6/21/2010,1.69,6.57
6/22/2010,1.74,6.65
6/23/2010,1.79,6.72
6/24/2010,1.8,6.78
6/25/2010,1.8,6.8
6/28/2010,1.83,6.84
6/29/2010,1.86,6.97
6/30/2010,1.85,7
7/1/2010,1.86,7.02
7/2/2010,1.83,6.99
7/6/2010,1.83,6.97
7/7/2010,1.81,6.94
7/8/2010,1.76,6.83
7/9/2010,1.73,6.73
7/12/2010,1.71,6.7
7/13/2010,1.63,6.55
7/14/2010,1.68,6.57
7/15/2010,1.73,6.62
7/16/2010,1.73,6.64
7/19/2010,1.7,6.62
7/20/2010,1.69,6.64
7/21/2010,1.69,6.59
7/22/2010,1.63,6.51
7/23/2010,1.59,6.43
7/26/2010,1.55,6.38
7/27/2010,1.49,6.27
7/28/2010,1.5,6.32
7/29/2010,1.5,6.34
7/30/2010,1.56,6.42
8/2/2010,1.48,6.38
8/3/2010,1.51,6.39
8/4/2010,1.45,6.32
8/5/2010,1.46,6.35
8/6/2010,1.46,6.41
8/9/2010,1.4,6.39
8/10/2010,1.41,6.44
8/11/2010,1.43,6.61
8/12/2010,1.42,6.67
8/13/2010,1.44,6.7
8/16/2010,1.49,6.7
8/17/2010,1.44,6.64
8/18/2010,1.4,6.61
8/19/2010,1.42,6.64
8/20/2010,1.38,6.64
8/23/2010,1.38,6.65
8/24/2010,1.45,6.77
8/25/2010,1.44,6.76
8/26/2010,1.49,6.76
8/27/2010,1.48,6.66
8/30/2010,1.57,6.73
8/31/2010,1.62,6.8
9/1/2010,1.53,6.68
9/2/2010,1.52,6.61
9/3/2010,1.48,6.54
9/7/2010,1.51,6.56
9/8/2010,1.53,6.5
9/9/2010,1.48,6.36
9/10/2010,1.48,6.28
9/13/2010,1.49,6.27
9/14/2010,1.52,6.29
9/15/2010,1.47,6.24
9/16/2010,1.42,6.16
9/17/2010,1.44,6.16
9/20/2010,1.45,6.16
9/21/2010,1.54,6.22
9/22/2010,1.55,6.26
9/23/2010,1.54,6.29
9/24/2010,1.5,6.24
9/27/2010,1.53,6.26
9/28/2010,1.53,6.28
9/29/2010,1.49,6.22
9/30/2010,1.48,6.21
10/1/2010,1.47,6.16
10/4/2010,1.48,6.17
10/5/2010,1.48,6.12
10/6/2010,1.5,6.09
10/7/2010,1.48,6.06
10/8/2010,1.45,6.06
10/12/2010,1.39,6.01
10/13/2010,1.35,5.96
10/14/2010,1.29,5.93
10/15/2010,1.29,5.92
10/18/2010,1.36,5.99
10/19/2010,1.37,6
10/20/2010,1.4,6.03
10/21/2010,1.37,5.95
10/22/2010,1.37,5.92
10/25/2010,1.33,5.88
10/26/2010,1.25,5.75
10/27/2010,1.21,5.69
10/28/2010,1.23,5.74
10/29/2010,1.26,5.75
11/1/2010,1.23,5.78
11/2/2010,1.25,5.77
11/3/2010,1.23,5.76
11/4/2010,1.26,5.72
11/5/2010,1.25,5.63
11/8/2010,1.26,5.56
11/9/2010,1.21,5.48
11/10/2010,1.31,5.62
11/12/2010,1.32,5.61
11/15/2010,1.29,5.57
11/16/2010,1.36,5.79
11/17/2010,1.37,5.8
11/18/2010,1.36,5.7
11/19/2010,1.36,5.73
11/22/2010,1.38,5.82
11/23/2010,1.43,5.97
11/24/2010,1.37,5.88
11/26/2010,1.41,5.91
11/29/2010,1.47,5.98
11/30/2010,1.59,6.08
12/1/2010,1.51,5.87
12/2/2010,1.49,5.76
12/3/2010,1.45,5.74
12/6/2010,1.49,5.79
12/7/2010,1.35,5.54
12/8/2010,1.3,5.49
12/9/2010,1.37,5.47
12/10/2010,1.35,5.42
12/13/2010,1.4,5.46
12/14/2010,1.34,5.31
12/15/2010,1.35,5.29
12/16/2010,1.45,5.34
12/17/2010,1.57,5.44
12/20/2010,1.52,5.41
12/21/2010,1.48,5.42
12/22/2010,1.46,5.35
12/23/2010,1.44,5.29
12/27/2010,1.45,5.28
12/28/2010,1.39,5.16
12/29/2010,1.46,5.26
12/30/2010,1.46,5.22
12/31/2010,1.52,5.26
1/3/2011,1.5,5.15
1/4/2011,1.43,5.11
1/5/2011,1.33,4.95
1/6/2011,1.38,4.97
1/7/2011,1.45,5.05
1/10/2011,1.46,5.1
1/11/2011,1.42,5.04
1/12/2011,1.4,5
1/13/2011,1.41,5.02
1/14/2011,1.41,4.99
1/18/2011,1.38,4.96
1/19/2011,1.4,4.98
1/20/2011,1.35,4.9
1/21/2011,1.39,4.91
1/24/2011,1.38,4.89
1/25/2011,1.41,4.94
1/26/2011,1.34,4.86
1/27/2011,1.39,4.9
1/28/2011,1.47,4.89
1/31/2011,1.47,4.91
2/1/2011,1.39,4.82
2/2/2011,1.33,4.73
2/3/2011,1.3,4.66
2/4/2011,1.26,4.52
2/7/2011,1.29,4.48
2/8/2011,1.23,4.36
2/9/2011,1.33,4.43
2/10/2011,1.31,4.4
2/11/2011,1.33,4.44
2/14/2011,1.35,4.44
2/15/2011,1.35,4.44
2/16/2011,1.34,4.42
2/17/2011,1.34,4.43
2/18/2011,1.34,4.42
2/22/2011,1.41,4.55
2/23/2011,1.4,4.56
2/24/2011,1.43,4.63
2/25/2011,1.41,4.63
2/28/2011,1.4,4.63
3/1/2011,1.38,4.59
3/2/2011,1.33,4.54
3/3/2011,1.25,4.43
3/4/2011,1.3,4.51
3/7/2011,1.3,4.52
3/8/2011,1.25,4.48
3/9/2011,1.28,4.55
3/10/2011,1.33,4.7
3/11/2011,1.35,4.74
3/14/2011,1.38,4.81
3/15/2011,1.42,4.97
3/16/2011,1.45,5.02
3/17/2011,1.42,4.98
3/18/2011,1.39,4.9
3/21/2011,1.36,4.81
3/22/2011,1.35,4.79
3/23/2011,1.35,4.8
3/24/2011,1.27,4.73
3/25/2011,1.24,4.68
3/28/2011,1.24,4.66
3/29/2011,1.26,4.63
3/30/2011,1.29,4.66
3/31/2011,1.29,4.65
4/1/2011,1.28,4.6
4/4/2011,1.28,4.61
4/5/2011,1.24,4.55
4/6/2011,1.21,4.45
4/7/2011,1.21,4.46
4/8/2011,1.21,4.43
4/11/2011,1.21,4.43
4/12/2011,1.25,4.53
4/13/2011,1.28,4.55
4/14/2011,1.27,4.53
4/15/2011,1.31,4.61
4/18/2011,1.33,4.67
4/19/2011,1.34,4.68
4/20/2011,1.31,4.59
4/21/2011,1.3,4.57
4/25/2011,1.32,4.61
4/26/2011,1.33,4.62
4/27/2011,1.32,4.6
4/28/2011,1.34,4.64
4/29/2011,1.33,4.62
5/2/2011,1.31,4.59
5/3/2011,1.33,4.62
5/4/2011,1.32,4.62
5/5/2011,1.33,4.65
5/6/2011,1.3,4.65
5/9/2011,1.29,4.66
5/10/2011,1.25,4.6
5/11/2011,1.27,4.63
5/12/2011,1.25,4.61
5/13/2011,1.26,4.63
5/16/2011,1.28,4.64
5/17/2011,1.29,4.69
5/18/2011,1.24,4.66
5/19/2011,1.24,4.68
5/20/2011,1.24,4.69
5/23/2011,1.26,4.76
5/24/2011,1.27,4.77
5/25/2011,1.27,4.82
5/26/2011,1.34,4.91
5/27/2011,1.34,4.91
5/31/2011,1.37,4.92
6/1/2011,1.43,4.96
6/2/2011,1.37,4.99
6/3/2011,1.38,5.08
6/6/2011,1.38,5.08
6/7/2011,1.37,5.12
6/8/2011,1.41,5.22
6/9/2011,1.37,5.24
6/10/2011,1.4,5.29
6/13/2011,1.37,5.32
6/14/2011,1.31,5.24
6/15/2011,1.41,5.38
6/16/2011,1.45,5.52
6/17/2011,1.43,5.49
6/20/2011,1.4,5.54
6/21/2011,1.38,5.52
6/22/2011,1.36,5.49
6/23/2011,1.43,5.6
6/24/2011,1.46,5.65
6/27/2011,1.41,5.63
6/28/2011,1.33,5.5
6/29/2011,1.28,5.39
6/30/2011,1.24,5.25
7/1/2011,1.22,5.18
7/5/2011,1.26,5.21
7/6/2011,1.3,5.24
7/7/2011,1.27,5.11
7/8/2011,1.37,5.23
7/11/2011,1.48,5.4
7/12/2011,1.56,5.44
7/13/2011,1.59,5.42
