,S&P 500 INDEX,Russell 1000 Value Index,Russell 2000 Total Return Index,Russell 2000 Index,Bloomberg US Corporate Total Return Value Unhedged USD,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD,LBMA Gold Price PM USD
,SPX Index,RLV Index,RU20INTR Index,RTY Index,LUACTRUU Index,LF98TRUU Index,GOLDLNPM Index
5/22/2008,1394.35,756.02,3150.66,733.009,1677.04,917.26,922.75
5/23/2008,1375.93,744,3112.45,724.101,1684.42,916.82,927.5
5/27/2008,1385.35,746.51,3156.73,734.389,1674.41,913.96,906.75
5/28/2008,1390.84,748.79,3174.73,738.459,1668.61,914.16,902.5
5/29/2008,1398.26,752.25,3205.59,745.551,1662.75,913.94,883
5/30/2008,1400.38,752.12,3217.38,748.282,1670.89,914.31,885.75
6/2/2008,1385.67,744.92,3186.2,741.017,1676.64,913.59,888.25
6/3/2008,1377.65,739.49,3177.61,739.003,1683.82,912.9,879.25
6/4/2008,1377.2,736.27,3198,743.71,1678.89,911.53,883.5
6/5/2008,1404.05,751.19,3282.23,763.266,1673.01,915.43,878.75
6/6/2008,1360.68,727.9,3183.84,740.368,1682.3,916.98,890.5
6/9/2008,1361.76,727.43,3161.95,735.253,1676.61,915.77,896.25
6/10/2008,1358.44,725.66,3150.71,732.622,1664.71,913.84,878
6/11/2008,1335.49,713.82,3087.99,717.884,1666.88,913.43,876.25
6/12/2008,1339.87,714.89,3096.91,719.837,1654.82,912.09,862.25
6/13/2008,1360.03,724.24,3156.24,733.612,1650.95,911.83,866
6/16/2008,1360.14,724.88,3186.9,740.737,1653.63,912.08,888.25
6/17/2008,1350.93,719.39,3169.25,736.571,1655.56,913.44,881.5
6/18/2008,1337.81,711.73,3144.25,730.715,1662.43,911.83,887.5
6/19/2008,1342.83,711.4,3174.9,737.83,1656.28,909.24,903
6/20/2008,1317.93,698.67,3122.84,725.731,1660.17,906.29,907.5
6/23/2008,1318,697.51,3097.49,719.815,1656.01,903.04,881
6/24/2008,1314.29,697.03,3046.35,707.922,1659.5,897.28,889.5
6/25/2008,1321.97,700.65,3082.56,716.302,1658.16,896.95,882.75
6/26/2008,1283.15,679.75,3007.13,698.422,1663.02,891.99,909.5
6/27/2008,1278.38,676.23,3006.1,698.14,1659.99,888.72,919.5
6/30/2008,1280,678.37,2969.68,689.659,1660.2,888.75,930.25
7/1/2008,1284.91,680.19,2978.07,691.589,1657.22,884.61,937.5
7/2/2008,1261.52,669.11,2895.38,672.34,1661.38,883.19,935.25
7/3/2008,1262.9,668.9,2867.18,665.777,1660.65,881.73,934
7/4/2008,,,,,,,931.25
7/7/2008,1252.31,659.69,2834.86,658.265,1664.17,880.71,916.75
7/8/2008,1273.7,673.94,2940.31,682.722,1668.03,878.31,921
7/9/2008,1244.69,657.55,2858.68,663.752,1672.34,881.77,927.25
7/10/2008,1253.39,660.26,2887.64,670.437,1672.51,879.44,939.5
7/11/2008,1239.49,651.56,2907.3,674.947,1657.64,874.5,962.75
7/14/2008,1228.3,641.97,2862.42,664.501,1666.13,876.56,968
7/15/2008,1214.91,632.15,2853.22,662.354,1664.84,872.24,986
7/16/2008,1245.36,653.46,2958.42,686.747,1652.31,871.85,977.5
7/17/2008,1260.32,665.27,3001.02,696.626,1641.56,875.18,965.5
7/18/2008,1260.68,668.59,2985.79,693.082,1634.81,878.15,959.75
7/21/2008,1260,668,3005.51,697.634,1635.5,881.9,960.5
7/22/2008,1277,681.93,3088.23,716.824,1632.82,879.95,961.5
7/23/2008,1282.19,687.29,3098.52,719.188,1630.48,882.92,926.5
7/24/2008,1252.54,666.38,3026.16,702.389,1644,882.27,928
7/25/2008,1257.76,666.27,3060.42,710.339,1635.41,880.38,920.5
