,S&P 500 INDEX,Russell 1000 Value Index,Russell 2000 Total Return Index,Russell 2000 Index,Bloomberg US Corporate Total Return Value Unhedged USD,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD,LBMA Gold Price PM USD
,SPX Index,RLV Index,RU20INTR Index,RTY Index,LUACTRUU Index,LF98TRUU Index,GOLDLNPM Index
8/1/2013,1706.87,874.42,4905.43,1059.879,2364.8,1521.3,1315
8/2/2013,1709.67,874.51,4905.61,1059.863,2381.17,1519.68,1309.25
8/5/2013,1707.14,872.66,4920.23,1063.009,2375.54,1519.69,1304.75
8/6/2013,1697.37,866.76,4870.13,1052.138,2375.51,1518.26,1280.5
8/7/2013,1690.91,863.46,4834.3,1044.338,2380.19,1516.64,1282.5
8/8/2013,1697.48,866.89,4858.41,1049.474,2382.83,1517.85,1298.25
8/9/2013,1691.42,864.22,4853.52,1048.402,2382.65,1518.16,1309
8/12/2013,1689.47,862.79,4878,1053.668,2378.73,1518.64,1341
8/13/2013,1694.16,864.54,4871,1051.994,2364.43,1517.65,1328.5
8/14/2013,1685.39,860.94,4852,1047.804,2365.09,1517.75,1326.5
8/15/2013,1661.32,848.93,4759.16,1027.612,2355.75,1513.86,1329.75
8/16/2013,1655.83,845.73,4743.98,1024.3,2344.93,1513.29,1369.25
8/19/2013,1646.06,838.31,4692.88,1013.247,2337.42,1510.92,1365
8/20/2013,1652.35,842.76,4763.97,1028.572,2345.13,1508.95,1372.5
8/21/2013,1642.8,836.94,4731.76,1021.577,2339.21,1507.89,1363
8/22/2013,1656.96,843.89,4799.58,1036.197,2335.45,1506.62,1375.5
8/23/2013,1663.5,846.77,4809.11,1038.243,2348.48,1508.07,1377.5
8/26/2013,1656.78,842.45,4810.24,1038.465,2353.23,1509.9,
8/27/2013,1630.48,828.92,4694.56,1013.487,2364.91,1509.94,1419.25
8/28/2013,1634.96,831.5,4709.44,1016.5,2356.62,1509.78,1419.5
8/29/2013,1638.17,831.73,4758.24,1026.938,2363.03,1511.06,1407.75
8/30/2013,1632.97,829.06,4683.99,1010.895,2364.84,1512.46,1394.75
9/2/2013,,,,,,,1392.25
9/3/2013,1639.77,831.66,4709.1,1016.265,2353.96,1514.49,1399.5
9/4/2013,1653.08,838.57,4752.58,1025.584,2348.97,1513.83,1390
9/5/2013,1655.08,839.43,4767.19,1028.69,2334.88,1511.43,1385
9/6/2013,1655.17,839.55,4771.37,1029.547,2337.82,1512.16,1387
9/9/2013,1671.71,848.09,4848.14,1046.078,2344.91,1514.12,1390
9/10/2013,1683.99,854.6,4893.08,1055.724,2335.37,1514.37,1358.25
9/11/2013,1689.13,856.93,4891.95,1055.336,2340.82,1515.64,1363.75
9/12/2013,1683.42,852.63,4861.03,1048.484,2342.41,1517.93,1328
9/13/2013,1687.99,855.16,4886.65,1053.979,2342.89,1518.81,1318.5
9/16/2013,1697.6,860.54,4897.27,1056.248,2346.06,1523.71,1324
9/17/2013,1704.76,863.94,4944.54,1066.391,2350.03,1524.01,1312.25
9/18/2013,1725.52,873.7,4994.01,1076.967,2370.23,1526.53,1301
9/19/2013,1722.34,870.22,4986.29,1075.267,2366.84,1533.97,1365.5
9/20/2013,1709.91,863.7,4975.24,1072.826,2371.25,1534.05,1349.25
9/23/2013,1701.84,859.11,4972.15,1072.133,2373.3,1532.97,1323
9/24/2013,1697.42,857.04,4984.34,1074.677,2382.97,1532.73,1314.25
9/25/2013,1692.77,856.98,4979.21,1073.506,2387.79,1531.72,1322.75
9/26/2013,1698.67,857.45,5003.98,1078.409,2382.2,1531.42,1333
9/27/2013,1691.75,853.61,4984.67,1074.187,2383.8,1529.74,1341
9/30/2013,1681.55,848.24,4982.85,1073.786,2381.27,1527.48,1326.5
10/1/2013,1695,854.86,5046.24,1087.429,2379.11,1528.81,1290.75
10/2/2013,1693.87,854.97,5023.78,1082.547,2383.31,1530.16,1306.25
10/3/2013,1678.66,847.33,4969.85,1070.9,2386.51,1532.47,1316
10/4/2013,1690.5,853.31,5004.07,1078.251,2382.57,1534.09,1309.75
10/7/2013,1676.12,846.34,4946.29,1065.786,2385.48,1535.42,1323.5
10/8/2013,1655.45,837.38,4860.51,1047.262,2385.83,1535.96,1329.5
10/9/2013,1656.4,838.84,4842.99,1043.459,2383.99,1535.8,1304
10/10/2013,1692.56,856.95,4964.24,1069.5,2384.35,1538.08,1298.5
10/11/2013,1703.2,862.6,5033.02,1084.315,2387.6,1539.23,1265.5
10/14/2013,1710.14,865.43,5060.82,1090.304,,,1285.5
10/15/2013,1698.06,859.16,5011.28,1079.619,2383.07,1541.68,1270.5
10/16/2013,1721.54,871.27,5070.82,1092.423,2393.47,1543.99,1273.5
10/17/2013,1733.15,878.42,5116.62,1102.275,2406.77,1548.96,1319.25
10/18/2013,1744.5,882.36,5174.71,1114.774,2407.75,1553.26,1316.5
10/21/2013,1744.66,882.46,5164.13,1112.482,2405.76,1556.29,1317.5
10/22/2013,1754.67,887.43,5178.82,1115.634,2418.14,1558.59,1333
10/23/2013,1746.38,882.04,5157.15,1110.928,2420.06,1559.53,1331.25
10/24/2013,1752.07,884.02,5193.98,1118.847,2415.91,1561.25,1344.75
10/25/2013,1759.77,887.03,5191.66,1118.345,2418.47,1561.66,1347.75
10/28/2013,1762.11,887.69,5190.06,1117.975,2418.08,1563.25,1361
10/29/2013,1771.95,892.24,5204.9,1121.074,2418.94,1563.87,1349.25
10/30/2013,1763.31,888.01,5132.83,1105.501,2417.93,1565.33,1354.75
10/31/2013,1756.54,884.06,5108.15,1100.155,2416.48,1565.75,1324
11/1/2013,1761.64,886.85,5087.45,1095.666,2407.11,1565.79,1306.75
11/4/2013,1767.93,891,5146.33,1108.284,2410.33,1565.9,1320.5
11/5/2013,1762.97,887.22,5124.65,1103.589,2401.05,1564.44,1307.25
11/6/2013,1770.49,891.24,5102.37,1098.635,2402.64,1564.76,1319
11/7/2013,1747.15,879.99,5011.8,1079.085,2407.52,1566.34,1307.25
11/8/2013,1770.61,893.1,5108.95,1099.971,2389.05,1561.04,1285.5
11/11/2013,1771.89,894.17,5116.05,1101.499,,,1282.5
11/12/2013,1767.69,890.77,5116.2,1101.471,2386.98,1560.35,1281.25
11/13/2013,1782,897.32,5166.92,1112.176,2392.34,1559.02,1272.5
11/14/2013,1790.62,901.22,5163.96,1111.437,2399.75,1561.75,1286
11/15/2013,1798.18,905.62,5186.23,1116.196,2401.78,1563.24,1287.25
11/18/2013,1791.53,902.73,5144.99,1107.292,2409.29,1566.23,1283.5
11/19/2013,1787.87,901.32,5117.68,1101.381,2403.76,1566.96,1275.75
11/20/2013,1781.37,898.28,5110.5,1099.794,2394.52,1567.43,1257
11/21/2013,1795.85,906.49,5202.67,1119.619,2398.31,1566.03,1240
11/22/2013,1804.76,909.65,5227.34,1124.92,2405.19,1567.75,1246.25
11/25/2013,1802.48,908.51,5226.54,1124.726,2408.15,1570.47,1243
11/26/2013,1802.75,906.94,5273.01,1134.529,2415.24,1571.76,1247.5
11/27/2013,1807.23,908.71,5305.37,1141.33,2411.12,1572.84,1245
11/28/2013,,,,,,,1245.5
11/29/2013,1805.81,906.51,5312.8,1142.891,2411.69,1573.7,1253
12/2/2013,1800.9,904.91,5248.89,1129.116,2405.49,1574.06,1229.5
12/3/2013,1795.15,901.66,5224.26,1123.78,2408.83,1574.24,1217.25
12/4/2013,1792.81,901.23,5213.43,1121.38,2398.79,1573.14,1227.5
12/5/2013,1785.03,896.18,5218.64,1122.468,2397.25,1573.13,1222.5
12/6/2013,1805.09,906.95,5260.36,1131.383,2396.57,1573.84,1233
12/9/2013,1808.37,908.9,5253.33,1129.841,2401.36,1575.87,1237
12/10/2013,1802.62,906.61,5206.26,1119.69,2412.42,1577.13,1266.25
12/11/2013,1782.22,894.23,5122.47,1101.499,2406.78,1577.52,1260.75
12/12/2013,1775.5,892.01,5131.36,1103.274,2403.21,1576.35,1225.25
12/13/2013,1775.32,892.52,5149.46,1107.052,2406.41,1575.78,1232
12/16/2013,1786.54,898.11,5209.15,1119.853,2406.66,1576.84,1234.75
12/17/2013,1781,895.45,5204.93,1118.892,2413.7,1576.51,1231.75
12/18/2013,1810.65,911,5274.33,1133.719,2410.18,1576.46,1230.5
12/19/2013,1809.6,909.57,5236.08,1125.454,2410.21,1577.44,1196
12/20/2013,1818.32,912.96,5333.96,1146.469,2417.74,1578.28,1195.25
12/23/2013,1827.99,917.43,5384.12,1157.217,2414.59,1579.56,1199
12/24/2013,1833.32,920.63,5405.99,1161.801,2406.93,1579.72,
12/26/2013,1842.02,924.4,5410.21,1162.648,2406.13,1580.08,
12/27/2013,1841.4,924.97,5404.97,1161.094,2405.09,1580.16,1214.5
12/30/2013,1841.07,924.23,5402.94,1160.587,2411.38,1581.47,1204.5
12/31/2013,1848.36,927.61,5417.36,1163.637,2407.75,1582.19,
1/2/2014,1831.98,919.09,5357.37,1150.724,2412.84,1583.97,1225
1/3/2014,1831.37,920.84,5382.38,1156.086,2412.78,1584.77,1234.5
1/6/2014,1826.77,919.96,5340.88,1147.156,2419.03,1587.23,1246.25
1/7/2014,1837.88,924.96,5389.65,1157.629,2421.84,1589.9,1227.5
1/8/2014,1837.49,924.61,5389.12,1157.458,2413.12,1590.33,1221
1/9/2014,1838.13,925.18,5393.42,1158.349,2417.64,1590.78,1226
1/10/2014,1842.37,926.66,5422.2,1164.529,2432.03,1592.59,1244.25
1/13/2014,1819.2,916.61,5345.98,1148.091,2436.82,1594.21,1248
1/14/2014,1838.88,925.11,5417.46,1163.427,2429.87,1594.69,1251.5
1/15/2014,1848.38,929.8,5454.63,1171.354,2428.87,1596.32,1236
1/16/2014,1845.89,927.42,5463.01,1173.134,2434.2,1597.52,1241.5
1/17/2014,1838.7,923.23,5441.17,1168.43,2436.56,1598.49,1250
1/20/2014,,,,,,,1255.75
1/21/2014,1843.8,925.13,5475.2,1175.723,2438.07,1599.93,1238
1/22/2014,1844.86,925.88,5501.26,1181.292,2432.69,1600.32,1241
1/23/2014,1828.46,916.31,5459.93,1172.396,2442.66,1599.19,1263
1/24/2014,1790.29,896.83,5328.32,1144.134,2441.83,1593.95,1267
1/27/2014,1781.56,893.46,5251.94,1127.728,2438.22,1592.69,1260.5
1/28/2014,1792.5,900.41,5300.95,1138.235,2442.32,1593.36,1251.25
1/29/2014,1774.2,892.03,5227.85,1122.451,2451.54,1592.78,1264
1/30/2014,1794.19,900.63,5306.85,1139.358,2448.48,1594,1242.5
1/31/2014,1782.59,893.55,5267.4,1130.882,2451.39,1593.29,1251
2/3/2014,1741.89,873.54,5098.44,1094.583,2463.96,1593.13,1262
2/4/2014,1755.2,879.62,5137.03,1102.843,2456.14,1591.31,1250.25
2/5/2014,1751.64,877.97,5094.22,1093.594,2449.95,1591.82,1254.5
2/6/2014,1773.43,888.84,5142.67,1103.926,2448.11,1594.31,1256.5
2/7/2014,1797.02,898.89,5201.62,1116.553,2454.16,1597.09,1259.25
2/10/2014,1799.84,899.47,5211.91,1118.734,2454.93,1599.45,1277
2/11/2014,1819.75,910,5260.67,1129.164,2451.72,1602.32,1282
2/12/2014,1819.26,909.24,5277.2,1132.536,2447.55,1604.3,1289.5
2/13/2014,1829.83,914.13,5348.68,1147.785,2456.46,1604.71,1296
2/14/2014,1838.63,920.48,5355.43,1149.211,2455.77,1605.87,1320
2/17/2014,,,,,,,1327.5
2/18/2014,1840.76,921.81,5412.77,1161.482,2461.78,1609.22,1320.75
2/19/2014,1828.75,915.44,5355.12,1149.066,2458.59,1611.49,1320.5
2/20/2014,1839.78,920.72,5416.07,1162.115,2455.12,1612.49,1316.25
2/21/2014,1836.25,919.25,5427.85,1164.632,2459.71,1614.38,1323.25
2/24/2014,1847.61,925.63,5474.24,1174.554,2458.17,1617.02,1334.75
2/25/2014,1845.12,922.97,5471.5,1173.946,2466.31,1619.56,1339
2/26/2014,1845.16,922.83,5508.57,1181.72,2471.62,1621.37,1331.75
2/27/2014,1854.29,926.39,5538.38,1187.943,2477.28,1623.29,1332.25
2/28/2014,1859.45,929.56,5515.56,1183.029,2476.88,1625.52,1326.5
3/3/2014,1845.73,922.67,5484.76,1176.359,2482.8,1624.89,1349.5
3/4/2014,1873.91,936.7,5635.41,1208.651,2472.53,1625.95,1334.75
3/5/2014,1873.81,936.8,5623.1,1205.909,2471.66,1626.19,1337
3/6/2014,1877.03,939.59,5617.48,1204.545,2464.53,1625.24,1345.25
3/7/2014,1878.04,941.67,5611.89,1203.316,2455.97,1622.16,1335.25
3/10/2014,1877.17,940.87,5599.15,1200.535,2456.31,1621.75,1344
3/11/2014,1867.63,934.6,5536.4,1187.047,2458.84,1622.23,1346.25
3/12/2014,1868.2,935.33,5557.97,1191.366,2463.13,1621.21,1366
3/13/2014,1846.34,925.95,5490.39,1176.74,2473.48,1621.78,1368.75
3/14/2014,1841.13,924.58,5512.42,1181.413,2473.33,1619.69,1385
3/17/2014,1858.83,932.92,5544.27,1188.228,2466.35,1621.28,1378.5
3/18/2014,1872.25,939.08,5623.12,1205.039,2469.04,1623.56,1355.75
3/19/2014,1860.77,934.48,5579.73,1195.661,2459.16,1624.93,1338
3/20/2014,1872.01,941.11,5595.27,1198.97,2460.68,1622.37,1327
3/21/2014,1866.52,941.69,5571.22,1193.734,2468.26,1624.08,1336
3/24/2014,1857.44,938.5,5498.93,1178.235,2471.82,1625.31,1310.75
3/25/2014,1865.62,943.4,5498.18,1178.05,2473.33,1625.95,1313.5
3/26/2014,1852.56,937.65,5393.07,1155.486,2480.46,1627.37,1304
3/27/2014,1849.04,936.67,5376.77,1151.441,2485.13,1627.13,1296
3/28/2014,1857.62,942.07,5378.84,1151.813,2479.84,1627.74,1294.75
3/31/2014,1872.34,950.19,5477.96,1173.038,2478.53,1629.36,1291.75
4/1/2014,1885.52,954.47,5551.26,1188.702,2475.02,1630.48,1283.75
4/2/2014,1890.9,957.25,5570.75,1192.808,2469.34,1630.85,1292
4/3/2014,1888.77,958.02,5516.28,1181.12,2473.52,1631.45,1284
4/4/2014,1865.09,949.53,5386.89,1153.38,2483.84,1633.16,1297.25
4/7/2014,1845.04,938.15,5304.77,1135.776,2489.33,1633.15,1299
4/8/2014,1851.96,941.34,5344.41,1144.236,2491.03,1633.13,1309.5
4/9/2014,1872.18,949.39,5417.93,1159.961,2491.59,1633.92,1301.75
4/10/2014,1833.08,931.93,5267.16,1127.659,2502.33,1635.32,1320.5
4/11/2014,1815.69,923.8,5191.72,1111.438,2504.01,1633.21,1318
4/14/2014,1830.61,930.69,5210.2,1115.355,2501.95,1634.44,1325.75
4/15/2014,1842.98,937.5,5229.86,1119.495,2504.72,1634.58,1298
4/16/2014,1862.31,946.17,5287.26,1131.768,2504.47,1634.83,1301.5
4/17/2014,1864.85,948.55,5315.92,1137.899,2494.16,1634.55,1299
4/21/2014,1871.89,951.04,5336.56,1142.309,2494.32,1635.48,
4/22/2014,1879.55,954.06,5398.72,1155.607,2495.85,1636.02,1286.75
4/23/2014,1875.39,953.73,5359.06,1147.08,2502.43,1636.53,1285.25
4/24/2014,1878.61,954.78,5346.45,1144.352,2503.11,1637.39,1291.5
4/25/2014,1863.4,948.84,5246.84,1123.03,2506.14,1637.23,1301.25
4/28/2014,1869.43,950.5,5219.37,1117.062,2504.74,1637.85,1299
4/29/2014,1878.33,955.07,5237.2,1120.832,2501.35,1638.4,1297.75
4/30/2014,1883.95,958.03,5265.52,1126.857,2508.22,1639.68,1288.5
5/1/2014,1883.68,957.54,5261.63,1125.97,2516.5,1640.33,1278.5
5/2/2014,1881.14,956.27,5275.12,1128.802,2520,1641,1281.25
5/5/2014,1884.66,956.12,5263.55,1126.305,2515.87,1641.66,
5/6/2014,1867.72,948.22,5178.29,1108.014,2519.51,1642.52,1306.25
5/7/2014,1878.21,956.1,5181.1,1108.549,2518.49,1643.39,1296
5/8/2014,1875.63,954.24,5129.37,1097.425,2520.24,1644.79,1287
5/9/2014,1878.48,953.58,5175.16,1107.218,2515.94,1645.19,1291.25
5/12/2014,1896.65,961.77,5298.79,1133.649,2512.68,1646.86,1298.75
5/13/2014,1897.45,962.16,5241.29,1121.164,2518.13,1648.15,1296.5
5/14/2014,1888.53,957.77,5157.62,1103.139,2530.13,1649.33,1305.25
5/15/2014,1870.85,949.3,5124.71,1095.986,2535.78,1648.56,1299
5/16/2014,1877.86,950.83,5157.42,1102.905,2532.62,1648.68,1291.5
5/19/2014,1885.08,954.19,5211.41,1114.43,2529.94,1649.72,1302
5/20/2014,1872.83,947.92,5134.33,1097.895,2533.45,1650.43,1295.5
5/21/2014,1888.03,954.68,5161.33,1103.629,2526.91,1649.88,1287.25
5/22/2014,1892.49,956.52,5209.55,1113.87,2524.13,1649.52,1298.5
5/23/2014,1900.53,959.6,5267.26,1126.189,2528.85,1649.49,1291.5
5/27/2014,1911.91,964.16,5342.2,1142.201,2533.91,1651.32,1275.5
5/28/2014,1909.78,964.42,5317.22,1136.679,2546.66,1652.38,1263.5
5/29/2014,1920.03,968.44,5333.65,1140.071,2543.93,1653.31,1255
5/30/2014,1923.57,969.48,5307.72,1134.5,2542.51,1654.77,1250.5
6/2/2014,1924.97,971.06,5281.64,1128.896,2531.31,1655.72,1247.25
6/3/2014,1924.24,971.97,5269.02,1126.148,2522.82,1655.25,1242.75
6/4/2014,1927.88,973.82,5293.21,1131.215,2521.59,1655.34,1245.25
6/5/2014,1940.46,980.42,5399.83,1153.938,2525.1,1656.65,1252.5
6/6/2014,1949.44,985.1,5452.73,1165.207,2525.35,1659.03,1247.5
6/9/2014,1951.27,986.32,5502.84,1175.876,2524.3,1660.99,1253.5
6/10/2014,1950.79,986.36,5488.36,1172.713,2521.64,1662.08,1259.5
6/11/2014,1943.89,982.54,5461.23,1166.708,2521.43,1662.17,1262
6/12/2014,1930.11,977.38,5427.9,1159.401,2530.82,1662.64,1265.75
6/13/2014,1936.16,981.36,5443.37,1162.685,2528.22,1662.94,1273
6/16/2014,1937.78,981.8,5462.94,1166.82,2529.75,1664.16,1276.25
6/17/2014,1941.99,985.32,5509.05,1176.619,2521.82,1664.71,1267.5
6/18/2014,1956.98,992.85,5539.9,1183.128,2527.48,1664.99,1269.75
6/19/2014,1959.48,994.76,5544.22,1184.034,2526.15,1667.28,1293
6/20/2014,1962.87,997.39,5565.06,1188.426,2527.33,1668.7,1312.5
6/23/2014,1962.61,997.61,5548.92,1184.952,2528.99,1669.85,1313.5
6/24/2014,1949.98,990.1,5494.18,1173.243,2535.42,1669.94,1318.5
6/25/2014,1959.53,993.56,5538.94,1182.679,2539.37,1668.69,1316.75
6/26/2014,1957.22,991.94,5532.25,1180.709,2545.02,1668.51,1311.75
6/27/2014,1960.96,992.94,5573.74,1189.503,2541.53,1668.4,1317.5
6/30/2014,1960.23,993.04,5590.12,1192.964,2544.49,1668.59,1315
7/1/2014,1973.32,998.12,5651.33,1205.946,2537.1,1669.07,1327.5
7/2/2014,1974.62,997.58,5621.27,1199.505,2527.02,1669.1,1326.5
7/3/2014,1985.44,1002.77,5661.88,1208.15,2524.55,1669.13,1317.5
7/4/2014,,,,,,,1319.25
7/7/2014,1977.65,998.39,5561.61,1186.74,2530.92,1670.25,1313
7/8/2014,1963.71,992.67,5493.39,1172.147,2538.99,1669.86,1323
7/9/2014,1972.83,996.51,5501.31,1173.809,2542.14,1669.43,1322.75
7/10/2014,1964.68,992.77,5445.45,1161.86,2541.41,1666.04,1340.25
7/11/2014,1967.57,992.81,5436.93,1159.93,2544.84,1666.46,1335
7/14/2014,1977.1,996.67,5463.6,1165.619,2541.01,1667.45,1306
7/15/2014,1973.28,997.34,5408.33,1153.809,2541.31,1665.54,1310
7/16/2014,1981.57,1003.48,5397.89,1151.547,2543.34,1663.98,1301
7/17/2014,1958.12,992.04,5313.8,1133.602,2552,1660.88,1302.5
7/18/2014,1978.22,1000.65,5398.21,1151.612,2549.34,1658.14,1307.25
7/21/2014,1973.63,998.7,5375.06,1146.658,2551.24,1657.48,1311.5
7/22/2014,1983.53,1003.18,5419.59,1156.155,2553.8,1659.25,1310.25
7/23/2014,1987.01,1004.01,5429.05,1158.114,2554.17,1661.03,1308
7/24/2014,1987.98,1004.68,5420.44,1156.26,2547.71,1661.73,1292.75
7/25/2014,1978.34,1000.07,5366.35,1144.721,2555.22,1661.09,1294.75
7/28/2014,1978.91,1000.38,5341.92,1139.502,2552.06,1660.97,1304.5
7/29/2014,1969.95,994.9,5352.3,1141.643,2557.51,1659.3,1299.25
7/30/2014,1970.07,993.75,5375.71,1146.569,2543.47,1656.51,1294.5
7/31/2014,1930.67,974.52,5251.76,1120.068,2543.07,1646.34,1285.25
8/1/2014,1925.15,971.62,5227.54,1114.857,2546.98,1637.54,1291.25
8/4/2014,1938.99,978.27,5274.42,1124.82,2548.5,1639.43,1290.5
8/5/2014,1920.21,968.05,5259.26,1121.563,2549.63,1643.95,1284.75
8/6/2014,1920.24,968.09,5278.24,1125.551,2548.61,1642.4,1306.5
8/7/2014,1909.57,962.82,5251.41,1119.759,2556.34,1645.64,1305.25
8/8/2014,1931.59,974.14,5305.82,1131.349,2555.72,1645.35,1309.75
8/11/2014,1936.92,975.83,5355.53,1141.926,2556.17,1650.56,1307.25
8/12/2014,1933.75,974.63,5313.99,1133.031,2551.89,1653.3,1315.75
8/13/2014,1946.72,980.67,5355.96,1141.779,2556.75,1657.91,1312
8/14/2014,1955.18,984.82,5363.95,1143.344,2562.7,1661.35,1313.5
8/15/2014,1955.06,983.17,5356.11,1141.648,2572.03,1663.07,1296
8/18/2014,1971.74,991.15,5434.87,1158.405,2563.01,1665.8,1296.75
8/19/2014,1981.6,994.92,5454.13,1162.467,2560.31,1667.77,1296.5
8/20/2014,1986.51,997.56,5431.17,1157.512,2558.66,1668.77,1295
8/21/2014,1992.37,1002.19,5443.08,1160.029,2563.72,1669.49,1275.25
8/22/2014,1988.4,998.81,5444.64,1160.343,2566.2,1669.61,1277.25
8/25/2014,1997.92,1003.44,5467.56,1165.221,2569.35,1670.78,
8/26/2014,2000.02,1004.68,5514.43,1175.17,2569.04,1671.32,1286
8/27/2014,2000.12,1005.46,5503.69,1172.714,2575.99,1671.67,1282.75
8/28/2014,1996.74,1003.9,5472.55,1165.948,2581.01,1671.97,1292
8/29/2014,2003.37,1007.92,5512.17,1174.352,2579.75,1672.43,1285.75
9/1/2014,,,,,,,1286.5
9/2/2014,2002.28,1006.54,5536.22,1179.473,2567.01,1672.17,1267
9/3/2014,2000.72,1007.65,5502.47,1172.198,2568.75,1670.91,1265.5
9/4/2014,1997.65,1006.03,5479.35,1167.214,2560.67,1668.51,1271.5
9/5/2014,2007.71,1010.79,5493.09,1170.133,2557.43,1664.9,1266
9/8/2014,2001.54,1007.38,5503.66,1172.314,2557.79,1665.26,1259
9/9/2014,1988.44,1000.61,5438.93,1158.499,2553.11,1662.76,1255.75
9/10/2014,1995.69,1002.36,5469.77,1164.987,2545.75,1657.64,1251
9/11/2014,1997.45,1004.67,5505.55,1172.343,2546.98,1655.34,1241.25
9/12/2014,1985.54,998.5,5450.71,1160.607,2533.86,1654.51,1231.5
9/15/2014,1984.13,999.41,5384.73,1146.52,2536.56,1653.87,1234.25
9/16/2014,1998.98,1006.12,5405.82,1150.971,2535.99,1652.13,1232.25
9/17/2014,2001.57,1007.56,5419.76,1153.89,2533.91,1653.8,1236
9/18/2014,2011.36,1011.23,5445.39,1159.274,2532.72,1656.58,1220.5
9/19/2014,2010.4,1010.42,5387.37,1146.92,2540.99,1657.9,1219.75
9/22/2014,1994.29,1002.02,5305.17,1129.362,2544.13,1656.79,1213.5
9/23/2014,1982.77,994.96,5255.32,1118.715,2548.16,1652.46,1222
9/24/2014,1998.3,1000.66,5300.75,1128.31,2541.46,1648.28,1217.25
9/25/2014,1965.99,985.9,5216.19,1110.242,2549.58,1641.77,1213.75
9/26/2014,1982.85,992.28,5261.15,1119.331,2543.21,1635.19,1213.75
9/29/2014,1977.8,988.91,5254.78,1117.907,2546.23,1631.02,1219.5
9/30/2014,1972.29,985.22,5178.71,1101.676,2542.53,1637.42,1216.5
10/1/2014,1946.16,972.98,5102.72,1085.409,2560.42,1640.17,1216.5
10/2/2014,1946.17,972.91,5154.38,1096.379,2555.47,1640.71,1211.75
10/3/2014,1967.9,983.4,5193.86,1104.743,2558.79,1646.47,1195
10/6/2014,1964.82,982.4,5146.57,1094.646,2563.68,1651.27,1195.75
10/7/2014,1935.1,966.89,5060.38,1076.31,2574.97,1648.6,1210.5
10/8/2014,1968.89,982.57,5158.41,1097.123,2576.08,1644.51,1217
10/9/2014,1928.21,960.67,5021.56,1067.993,2575.83,1641.42,1226.75
10/10/2014,1906.13,951.19,4953.11,1053.324,2576.96,1633.62,1219
10/13/2014,1874.74,937.53,4934.2,1049.303,,,1229
10/14/2014,1877.7,939.72,4992.05,1061.6,2588.98,1629.02,1234.75
10/15/2014,1862.49,930.68,5043.33,1072.446,2603.38,1619.99,1237.5
10/16/2014,1862.76,932.55,5106.36,1085.846,2588.22,1622.42,1237.75
10/17/2014,1886.76,943.75,5089.83,1082.325,2586.95,1639.95,1234.25
10/20/2014,1904.01,951.26,5149.36,1094.966,2590,1641.94,1244.5
10/21/2014,1941.28,969.59,5233.48,1112.847,2588.78,1652.13,1250.25
10/22/2014,1927.11,963.16,5158.6,1096.872,2585.42,1654.05,1243.75
10/23/2014,1950.82,973.31,5250.96,1116.486,2576.91,1655.29,1232.75
10/24/2014,1964.58,980.45,5261.99,1118.824,2577.01,1655.52,1232.75
10/27/2014,1961.63,978.52,5255.72,1117.477,2579.92,1654.92,1228.75
10/28/2014,1985.05,989.95,5406.22,1149.452,2575.78,1655.33,1229.25
10/29/2014,1982.3,989.46,5392.14,1146.369,2571.49,1655.66,1223.5
10/30/2014,1994.65,994.13,5436.61,1155.77,2573.25,1655.05,1202
10/31/2014,2018.05,1005.97,5520.09,1173.51,2568.56,1656.89,1164.25
11/3/2014,2017.81,1005.38,5504.74,1170.202,2566.38,1657.35,1167.75
11/4/2014,2012.1,1002.97,5482.42,1165.417,2565.89,1653.28,1166.5
11/5/2014,2023.57,1010.3,5490.56,1167.07,2564.16,1654.73,1142
11/6/2014,2031.21,1013.67,5513.54,1171.857,2559.98,1654.39,1145
11/7/2014,2031.92,1014.83,5520.73,1173.319,2568.54,1654.57,1154.5
11/10/2014,2038.26,1017.74,5550.21,1179.566,2561.32,1655,1162
11/11/2014,2039.68,1017.98,5552.05,1179.958,,,1156.5
11/12/2014,2038.25,1015.79,5583.38,1186.467,2561.54,1654.97,1164.5
11/13/2014,2039.33,1014.97,5532.39,1175.415,2561.87,1653.57,1161.75
11/14/2014,2039.82,1015.14,5524.94,1173.805,2565.04,1649.97,1169
11/17/2014,2041.32,1017.45,5479.97,1164.234,2561.9,1647.48,1182.5
11/18/2014,2051.8,1021.94,5508.62,1170.283,2558.65,1643.95,1192.75
11/19/2014,2048.72,1020.46,5449.48,1157.687,2552.84,1639.97,1196
11/20/2014,2052.75,1023.09,5511.17,1170.752,2556.12,1638.38,1190
11/21/2014,2063.5,1028.16,5519.23,1172.416,2564.24,1643.9,1203.75
11/24/2014,2069.41,1029.64,5587.89,1186.94,2568.51,1645.59,1197.5
11/25/2014,2067.03,1027.99,5585.7,1186.331,2577.85,1646.98,1199
11/26/2014,2072.83,1030.06,5606.81,1190.624,2581.58,1647.71,1197.5
11/27/2014,,,,,,,1194.75
11/28/2014,2067.56,1024.03,5525.04,1173.229,2585.87,1644.82,1182.75
12/1/2014,2053.44,1019.22,5434.92,1154.052,2578.67,1633.59,1194
12/2/2014,2066.55,1027.08,5502.97,1168.455,2567.36,1629.95,1195
12/3/2014,2074.33,1031.85,5553.14,1179.008,2567.99,1630.31,1204.75
12/4/2014,2071.92,1030.02,5525.1,1173.007,2573.22,1630.57,1209
