Date,IG_Spread,HY_Spread,HY_Change,IG_Change,HY_IG_Spread
2022-11-29,1.32,4.48,-0.009999999999999787,-0.06999999999999984,3.16
2022-11-30,1.33,4.48,0.0,0.010000000000000009,3.1500000000000004
2022-12-01,1.35,4.37,-0.11000000000000032,0.020000000000000018,3.02
2022-12-02,1.35,4.38,0.009999999999999787,0.0,3.03
2022-12-05,1.31,4.34,-0.040000000000000036,-0.040000000000000036,3.03
2022-12-06,1.39,4.48,0.14000000000000057,0.07999999999999985,3.0900000000000007
2022-12-07,1.43,4.58,0.09999999999999964,0.040000000000000036,3.1500000000000004
2022-12-08,1.36,4.46,-0.1200000000000001,-0.06999999999999984,3.0999999999999996
2022-12-09,1.32,4.37,-0.08999999999999986,-0.040000000000000036,3.05
2022-12-12,1.32,4.31,-0.0600000000000005,0.0,2.9899999999999993
2022-12-13,1.33,4.26,-0.04999999999999982,0.010000000000000009,2.9299999999999997
2022-12-14,1.36,4.3,0.040000000000000036,0.030000000000000027,2.9399999999999995
2022-12-15,1.38,4.45,0.15000000000000036,0.019999999999999796,3.0700000000000003
2022-12-16,1.42,4.57,0.1200000000000001,0.040000000000000036,3.1500000000000004
2022-12-19,1.4,4.57,0.0,-0.020000000000000018,3.1700000000000004
2022-12-20,1.39,4.58,0.009999999999999787,-0.010000000000000009,3.1900000000000004
2022-12-21,1.38,4.48,-0.09999999999999964,-0.010000000000000009,3.1000000000000005
2022-12-22,1.39,4.52,0.03999999999999915,0.010000000000000009,3.13
2022-12-23,1.35,4.48,-0.03999999999999915,-0.039999999999999813,3.1300000000000003
2022-12-27,1.29,4.47,-0.010000000000000675,-0.06000000000000005,3.1799999999999997
2022-12-28,1.3,4.63,0.16000000000000014,0.010000000000000009,3.33
2022-12-29,1.33,4.68,0.04999999999999982,0.030000000000000027,3.3499999999999996
2022-12-30,1.31,4.69,0.010000000000000675,-0.020000000000000018,3.3800000000000003
2023-01-03,1.4,4.59,-0.10000000000000053,0.08999999999999986,3.19
2023-01-04,1.46,4.52,-0.07000000000000028,0.06000000000000005,3.0599999999999996
2023-01-05,1.51,4.48,-0.03999999999999915,0.050000000000000044,2.9700000000000006
2023-01-06,1.53,4.37,-0.11000000000000032,0.020000000000000018,2.84
2023-01-09,1.51,4.28,-0.08999999999999986,-0.020000000000000018,2.7700000000000005
2023-01-10,1.5,4.24,-0.040000000000000036,-0.010000000000000009,2.74
2023-01-11,1.49,4.2,-0.040000000000000036,-0.010000000000000009,2.71
2023-01-12,1.49,4.19,-0.009999999999999787,0.0,2.7
2023-01-13,1.43,4.07,-0.1200000000000001,-0.06000000000000005,2.6400000000000006
2023-01-17,1.41,4.1,0.02999999999999936,-0.020000000000000018,2.6899999999999995
2023-01-18,1.42,4.16,0.0600000000000005,0.010000000000000009,2.74
2023-01-19,1.39,4.29,0.1299999999999999,-0.030000000000000027,2.9000000000000004
2023-01-20,1.37,4.24,-0.04999999999999982,-0.019999999999999796,2.87
2023-01-23,1.35,4.16,-0.08000000000000007,-0.020000000000000018,2.81
2023-01-24,1.37,4.2,0.040000000000000036,0.020000000000000018,2.83
2023-01-25,1.38,4.24,0.040000000000000036,0.009999999999999787,2.8600000000000003
2023-01-26,1.34,4.14,-0.10000000000000053,-0.039999999999999813,2.8
2023-01-27,1.33,4.13,-0.009999999999999787,-0.010000000000000009,2.8
2023-01-30,1.36,4.18,0.04999999999999982,0.030000000000000027,2.8199999999999994
2023-01-31,1.38,4.2,0.020000000000000462,0.019999999999999796,2.8200000000000003
2023-02-01,1.4,4.19,-0.009999999999999787,0.020000000000000018,2.7900000000000005
2023-02-02,1.3,3.86,-0.3300000000000005,-0.09999999999999987,2.5599999999999996
2023-02-03,1.27,3.85,-0.009999999999999787,-0.030000000000000027,2.58
2023-02-06,1.28,3.9,0.04999999999999982,0.010000000000000009,2.62
2023-02-07,1.29,3.91,0.010000000000000231,0.010000000000000009,2.62
2023-02-08,1.32,3.99,0.08000000000000007,0.030000000000000027,2.67
2023-02-09,1.31,3.99,0.0,-0.010000000000000009,2.68
2023-02-10,1.32,4.14,0.14999999999999947,0.010000000000000009,2.8199999999999994
2023-02-13,1.34,4.14,0.0,0.020000000000000018,2.8
2023-02-14,1.31,4.09,-0.04999999999999982,-0.030000000000000027,2.78
2023-02-15,1.3,4.08,-0.009999999999999787,-0.010000000000000009,2.7800000000000002
2023-02-16,1.27,4.16,0.08000000000000007,-0.030000000000000027,2.89
2023-02-17,1.33,4.26,0.09999999999999964,0.06000000000000005,2.9299999999999997
2023-02-21,1.31,4.4,0.14000000000000057,-0.020000000000000018,3.0900000000000003
2023-02-22,1.33,4.34,-0.0600000000000005,0.020000000000000018,3.01
2023-02-23,1.31,4.23,-0.10999999999999943,-0.020000000000000018,2.9200000000000004
2023-02-24,1.27,4.19,-0.040000000000000036,-0.040000000000000036,2.9200000000000004
2023-02-27,1.3,4.16,-0.03000000000000025,0.030000000000000027,2.8600000000000003
2023-02-28,1.3,4.12,-0.040000000000000036,0.0,2.8200000000000003
2023-03-01,1.28,4.1,-0.020000000000000462,-0.020000000000000018,2.8199999999999994
2023-03-02,1.26,4.08,-0.019999999999999574,-0.020000000000000018,2.8200000000000003
2023-03-03,1.29,3.97,-0.10999999999999988,0.030000000000000027,2.68
2023-03-06,1.26,3.89,-0.08000000000000007,-0.030000000000000027,2.63
2023-03-07,1.28,3.89,0.0,0.020000000000000018,2.6100000000000003
2023-03-08,1.31,4.0,0.10999999999999988,0.030000000000000027,2.69
2023-03-09,1.35,4.17,0.16999999999999993,0.040000000000000036,2.82
2023-03-10,1.44,4.5,0.33000000000000007,0.08999999999999986,3.06
2023-03-13,1.5,4.94,0.4400000000000004,0.06000000000000005,3.4400000000000004
2023-03-14,1.43,4.69,-0.25,-0.07000000000000006,3.2600000000000007
2023-03-15,1.53,5.11,0.41999999999999993,0.10000000000000009,3.58
2023-03-16,1.43,4.85,-0.2600000000000007,-0.10000000000000009,3.42
2023-03-17,1.52,5.09,0.2400000000000002,0.09000000000000008,3.57
2023-03-20,1.5,5.09,0.0,-0.020000000000000018,3.59
2023-03-21,1.43,4.81,-0.28000000000000025,-0.07000000000000006,3.38
2023-03-22,1.53,4.96,0.15000000000000036,0.10000000000000009,3.4299999999999997
2023-03-23,1.52,5.07,0.11000000000000032,-0.010000000000000009,3.5500000000000003
2023-03-24,1.51,5.16,0.08999999999999986,-0.010000000000000009,3.6500000000000004
2023-03-27,1.42,4.99,-0.16999999999999993,-0.09000000000000008,3.5700000000000003
2023-03-28,1.45,4.98,-0.009999999999999787,0.030000000000000027,3.5300000000000002
2023-03-29,1.43,4.8,-0.1800000000000006,-0.020000000000000018,3.37
2023-03-30,1.42,4.72,-0.08000000000000007,-0.010000000000000009,3.3
2023-03-31,1.43,4.55,-0.16999999999999993,0.010000000000000009,3.12
2023-04-03,1.43,4.54,-0.009999999999999787,0.0,3.1100000000000003
2023-04-04,1.47,4.67,0.1299999999999999,0.040000000000000036,3.2
2023-04-05,1.47,4.78,0.11000000000000032,0.0,3.3100000000000005
2023-04-06,1.47,4.77,-0.010000000000000675,0.0,3.3
2023-04-10,1.41,4.65,-0.11999999999999922,-0.06000000000000005,3.24
2023-04-11,1.4,4.59,-0.0600000000000005,-0.010000000000000009,3.19
2023-04-12,1.4,4.59,0.0,0.0,3.19
2023-04-13,1.38,4.46,-0.1299999999999999,-0.020000000000000018,3.08
2023-04-14,1.35,4.39,-0.07000000000000028,-0.029999999999999805,3.0399999999999996
2023-04-17,1.34,4.41,0.020000000000000462,-0.010000000000000009,3.0700000000000003
2023-04-18,1.36,4.39,-0.020000000000000462,0.020000000000000018,3.0299999999999994
2023-04-19,1.37,4.41,0.020000000000000462,0.010000000000000009,3.04
2023-04-20,1.37,4.54,0.1299999999999999,0.0,3.17
2023-04-21,1.36,4.48,-0.05999999999999961,-0.010000000000000009,3.12
2023-04-24,1.38,4.48,0.0,0.019999999999999796,3.1000000000000005
2023-04-25,1.41,4.65,0.16999999999999993,0.030000000000000027,3.24
2023-04-26,1.37,4.66,0.009999999999999787,-0.039999999999999813,3.29
2023-04-27,1.32,4.51,-0.15000000000000036,-0.050000000000000044,3.1899999999999995
2023-04-28,1.35,4.52,0.009999999999999787,0.030000000000000027,3.1699999999999995
2023-05-01,1.28,4.39,-0.1299999999999999,-0.07000000000000006,3.1099999999999994
2023-05-02,1.38,4.64,0.25,0.09999999999999987,3.26
2023-05-03,1.39,4.73,0.09000000000000075,0.010000000000000009,3.3400000000000007
2023-05-04,1.4,4.89,0.15999999999999925,0.010000000000000009,3.4899999999999998
2023-05-05,1.38,4.71,-0.17999999999999972,-0.020000000000000018,3.33
2023-05-08,1.35,4.66,-0.04999999999999982,-0.029999999999999805,3.31
2023-05-09,1.35,4.66,0.0,0.0,3.31
2023-05-10,1.37,4.71,0.04999999999999982,0.020000000000000018,3.34
2023-05-11,1.37,4.73,0.020000000000000462,0.0,3.3600000000000003
2023-05-12,1.35,4.71,-0.020000000000000462,-0.020000000000000018,3.36
2023-05-15,1.36,4.7,-0.009999999999999787,0.010000000000000009,3.34
2023-05-16,1.34,4.84,0.13999999999999968,-0.020000000000000018,3.5
2023-05-17,1.33,4.84,0.0,-0.010000000000000009,3.51
2023-05-18,1.3,4.81,-0.03000000000000025,-0.030000000000000027,3.51
2023-05-19,1.28,4.77,-0.040000000000000036,-0.020000000000000018,3.4899999999999993
2023-05-22,1.28,4.49,-0.27999999999999936,0.0,3.21
2023-05-23,1.29,4.56,0.0699999999999994,0.010000000000000009,3.2699999999999996
2023-05-24,1.28,4.64,0.08000000000000007,-0.010000000000000009,3.3599999999999994
2023-05-25,1.24,4.53,-0.10999999999999943,-0.040000000000000036,3.29
2023-05-26,1.24,4.46,-0.07000000000000028,0.0,3.2199999999999998
2023-05-30,1.28,4.61,0.15000000000000036,0.040000000000000036,3.33
2023-05-31,1.31,4.59,-0.020000000000000462,0.030000000000000027,3.28
2023-06-01,1.32,4.55,-0.040000000000000036,0.010000000000000009,3.2299999999999995
2023-06-02,1.27,4.24,-0.3099999999999996,-0.050000000000000044,2.97
2023-06-05,1.29,4.29,0.04999999999999982,0.020000000000000018,3.0
2023-06-06,1.3,4.26,-0.03000000000000025,0.010000000000000009,2.96
2023-06-07,1.27,4.22,-0.040000000000000036,-0.030000000000000027,2.9499999999999997
2023-06-08,1.31,4.27,0.04999999999999982,0.040000000000000036,2.9599999999999995
2023-06-09,1.29,4.16,-0.10999999999999943,-0.020000000000000018,2.87
2023-06-12,1.28,4.21,0.04999999999999982,-0.010000000000000009,2.9299999999999997
2023-06-13,1.22,4.07,-0.13999999999999968,-0.06000000000000005,2.8500000000000005
2023-06-14,1.24,4.06,-0.010000000000000675,0.020000000000000018,2.8199999999999994
2023-06-15,1.27,4.08,0.020000000000000462,0.030000000000000027,2.81
2023-06-16,1.23,4.01,-0.07000000000000028,-0.040000000000000036,2.78
2023-06-20,1.26,4.09,0.08000000000000007,0.030000000000000027,2.83
2023-06-21,1.24,4.17,0.08000000000000007,-0.020000000000000018,2.9299999999999997
2023-06-22,1.2,4.16,-0.009999999999999787,-0.040000000000000036,2.96
2023-06-23,1.22,4.26,0.09999999999999964,0.020000000000000018,3.04
2023-06-26,1.23,4.29,0.03000000000000025,0.010000000000000009,3.06
2023-06-27,1.2,4.15,-0.13999999999999968,-0.030000000000000027,2.95
2023-06-28,1.23,4.13,-0.020000000000000462,0.030000000000000027,2.9
2023-06-29,1.19,4.0,-0.1299999999999999,-0.040000000000000036,2.81
2023-06-30,1.18,3.9,-0.10000000000000009,-0.010000000000000009,2.7199999999999998
2023-07-03,1.15,3.87,-0.029999999999999805,-0.030000000000000027,2.72
