Date,CPI_change_lag1,CPI_yoy_lag1,CPI_change_3m_lag1,Inflation_Regime_lag1,UMich_Sentiment_lag1,CB_Confidence_lag1
2009-05-31,0.21399999999999864,-0.005763244243767063,0.25866666666667015,0.0,65.1,40.8
2009-06-30,0.3129999999999882,-0.01015761495855172,0.10566666666665962,0.0,68.7,54.8
2009-07-31,1.7680000000000007,-0.012291746182109153,0.7649999999999958,0.0,70.8,49.3
2009-08-31,-0.06399999999999295,-0.01958761003762277,0.672333333333332,0.0,66.0,47.4
2009-09-30,0.7189999999999941,-0.014838355663267633,0.8076666666666673,0.0,65.7,54.5
2009-10-31,0.4159999999999968,-0.01377942862886472,0.3569999999999993,0.0,73.5,53.4
2009-11-30,0.6479999999999961,-0.002239682942003385,0.594333333333329,0.0,70.6,48.7
2009-12-31,0.7250000000000227,0.019145871744709275,0.5963333333333386,0.0,67.4,50.6
2010-01-31,0.11299999999999955,0.028141231232083674,0.49533333333333945,0.0,72.5,53.6
2010-02-28,0.14099999999999113,0.026211113889767157,0.3263333333333378,0.0,74.4,56.5
2010-03-31,-0.20699999999999363,0.02151336357866529,0.01566666666666568,0.0,73.6,46.4
2010-04-30,0.07200000000000273,0.022861714393279886,0.002000000000000076,0.0,73.6,52.3
2010-05-31,0.04999999999998295,0.022067707525304403,-0.028333333333335986,0.0,72.2,57.7
2010-06-30,-0.11299999999999955,0.020035489292185682,0.0029999999999953766,0.0,73.6,62.7
2010-07-31,-0.09099999999997976,0.011215605940686268,-0.05133333333333212,0.0,76.0,54.3
2010-08-31,0.4059999999999775,0.013407784804821077,0.06733333333333273,0.0,67.8,51.0
2010-09-30,0.31800000000001205,0.011501775395112546,0.21100000000000327,0.0,68.9,53.2
2010-10-31,0.35200000000000387,0.011183122472331775,0.35866666666666447,0.0,68.2,48.6
2010-11-30,0.7599999999999909,0.011666951489314625,0.47666666666666896,0.0,67.7,49.9
2010-12-31,0.5550000000000068,0.01084544776600338,0.5556666666666672,0.0,71.6,57.8
2011-01-31,0.882000000000005,0.01437793022217937,0.7323333333333343,0.0,74.5,63.4
2011-02-28,0.7150000000000034,0.017007834915029774,0.7173333333333384,0.0,74.2,64.8
2011-03-31,0.7109999999999843,0.02124898173333145,0.7693333333333309,0.0,77.5,72.0
2011-04-30,1.1479999999999961,0.02619241510354109,0.8579999999999947,0.0,67.5,63.8
2011-05-31,1.046999999999997,0.030772344447868694,0.9686666666666591,1.0,69.8,66.0
2011-06-30,0.7130000000000223,0.034589718808965,0.9693333333333385,1.0,74.3,61.7
2011-07-31,0.0,0.03502318150636041,0.5866666666666731,1.0,71.5,57.6
2011-08-31,0.5889999999999986,0.035798809769996165,0.434000000000007,1.0,63.7,59.2
2011-09-30,0.7109999999999843,0.0375499603070808,0.43333333333332763,1.0,55.8,45.2
2011-10-31,0.49100000000001387,0.03812621692818685,0.596999999999999,1.0,59.5,46.4
2011-11-30,0.1529999999999916,0.035222681306640524,0.4516666666666633,1.0,60.8,40.9
