Date,M2_growth_lag1,M2_growth_3m_lag1,M2_growth_yoy_lag1
2009-04-30,0.008065582440830443,0.02214584323619384,0.0934028683181225
2009-05-31,0.0005604311742821722,0.012317529255640114,0.08798703403565655
2009-06-30,0.006924002812503716,0.015614294471890888,0.09371925645937984
2009-07-31,0.001195379444207667,0.008692645235142571,0.09238239130154047
2009-08-31,0.0004964949818544451,0.008628189391140628,0.08628966012937678
2009-09-30,-5.907721391862353e-05,0.001633290725749026,0.0841938046068309
2009-10-31,-0.00016542597187751973,0.0002718901091107728,0.07484375793912923
2009-11-30,0.0031081592133874736,0.002882968039227274,0.06432682541473866
2009-12-31,0.003428409854027592,0.006380716058135505,0.06104397657904581
2010-01-31,-0.000563578724903091,0.005979956509407192,0.03747851841017957
2010-02-28,-0.004053006273348814,-0.001201710670483691,0.022765110387260368
2010-03-31,0.0058506434528231566,0.0012093460138544732,0.025002103542365317
2010-04-30,-0.00044562757261956687,0.0013275064025750627,0.016347896594486322
2010-05-31,0.003672200387164759,0.009094447786545778,0.019508765239360626
2010-06-30,0.006335624444756327,0.00958099281132374,0.01891303318657389
2010-07-31,0.0022186084330353406,0.012271954009503094,0.01995436974690601
2010-08-31,0.0013212642412581133,0.009900874362930745,0.020795179299344158
2010-09-30,0.005602176051854757,0.009164827506098261,0.026574500768049125
2010-10-31,0.003545160510595391,0.010500573706841543,0.03038432447764028
2010-11-30,0.005700391113353964,0.014919844898431567,0.033047043438306334
2010-12-31,0.0023493453765794925,0.011636874273414755,0.031936127744510934
2011-01-31,0.003891227670952402,0.011985731817816925,0.036535795681492456
2011-02-28,0.002924109166742239,0.009192098900597578,0.04379725633131626
2011-03-31,0.007266357780540078,0.014142678347934812,0.0452663797450541
2011-04-30,0.006529568173403888,0.016807960830537594,0.05256056784184904
2011-05-31,0.007089115532519674,0.021030624929370578,0.056143919203254455
2011-06-30,0.008046396830140079,0.021821323191186126,0.05793936577999759
2011-07-31,0.008157842728211184,0.023474335395418766,0.06420880611026769
2011-08-31,0.017653913592751147,0.034211021460747615,0.08156722032525043
2011-09-30,0.019991010466385406,0.04646566679110231,0.09704301384684455
2011-10-31,0.002150876088553133,0.04023044837237655,0.09551882734811379
2011-11-30,0.003444485159399102,0.025705785406990422,0.09306144792664561
2011-12-31,0.005435916697967613,0.01106914279718807,0.09642735237228361
2012-01-31,0.004918798318891637,0.013861697115636229,0.09754964185329573
2012-02-29,0.007610570121542093,0.018071032093819106,0.10267826873093
2012-03-31,0.005349676149872806,0.01798370777772007,0.10058003208688149
2012-04-30,0.004495504495504621,0.017554910728115658,0.09835590480967493
2012-05-31,0.005459767198774168,0.01538288103632035,0.09657889785392526
2012-06-30,0.004410710861249223,0.014434545046789982,0.09262390478490978
2012-07-31,0.007054283819362128,0.017018642364952097,0.09142788686683878
2012-08-31,0.005278598227827835,0.01683539065575257,0.07815543331692387
2012-09-30,0.007057422204575836,0.01951484213276533,0.06448431434267121
2012-10-31,0.007934474057719632,0.02040592320587531,0.07062765010731309
2012-11-30,0.006483410097691156,0.021628864956077187,0.0738700388130713
2012-12-31,0.006752555283510153,0.021319586815959468,0.07527629326000107
2013-01-31,0.011793203949082676,0.025229559656174017,0.08263199743904837
2013-02-28,0.0022891807594356273,0.020957211146088506,0.07691440518160197
2013-03-31,0.0018461948401709005,0.015981624991555643,0.07316153234520595
2013-04-30,0.0053478983614343445,0.00950963840482233,0.07407219476552429
2013-05-31,0.0025983106256732835,0.009820995232249219,0.07101547281407372
2013-06-30,0.0032795227728932286,0.011265732605082013,0.06980927306710627
2013-07-31,0.005372859544809705,0.01129084071883435,0.06802307016843612
2013-08-31,0.0036904506086907762,0.012392449558489504,0.06633579830264513
2013-09-30,0.005436199128718844,0.014568715304196012,0.0646191452452296
2013-10-31,0.005629004184720232,0.014827202825296926,0.06218401932310447
2013-11-30,0.011443564721045796,0.022666343969914626,0.06741867785939126
2013-12-31,0.0008465088337292759,0.017998000222197552,0.06115673766394192
2014-01-31,0.005865982756739108,0.018237893573927577,0.054940338226457275
2014-02-28,0.006392347266299447,0.013152744782137793,0.059259047782187046
2014-03-31,0.00592949293851297,0.018298228382261916,0.06357634766088816
2014-04-30,0.0031973420977422506,0.015596604009005421,0.06130123396133724
2014-05-31,0.0040150989085341315,0.013197613828296317,0.0628009763176991
2014-06-30,0.005772453603128058,0.013039439839954259,0.06544180498022745
2014-07-31,0.004875339422364844,0.01473389954240334,0.06491455906122412
2014-08-31,0.004816592239057282,0.015543949564184034,0.06610939419890549
2014-09-30,0.002121714834541155,0.011857742356384593,0.06259489686331143
2014-10-31,0.003641971543830058,0.010615804388450778,0.060495304732093524
2014-11-30,0.006424112994938946,0.012232602811490523,0.05523242583945476
2014-12-31,0.003545212238314166,0.013670462565237518,0.05807777656517166
2015-01-31,0.007168520396761302,0.017232249047234527,0.059447925425629045
2015-02-28,0.007475933638287691,0.018295365346628678,0.06058863693535077
2015-03-31,0.009961711788025518,0.02480617489814496,0.06483995427264944
2015-04-30,-0.00019290770624347253,0.01731583259370506,0.061241386678062115
2015-05-31,0.002860618262656711,0.012655439975604033,0.06002110359381785
2015-06-30,0.0023421946363741952,0.005015600362331174,0.05640582572204411
2015-07-31,0.003388246290454422,0.008615410427414982,0.05484247374562434
